Code No,Product name,sbn,eglobal,oz cosmetic,brand shopping,hot cosmetic,cosmetic now,topbuy ,yestyle,cosme-de
0004GS,Gamila Secret Lavender Heaven Cleansing Bar 30g ,http://au.strawberrynet.com/skincare/gamila-secret/cleansing-bar---lavender-heaven/159462/#DETAIL,/,http://www.ozcosmetics.com/skincare/gamila-secret/159462,/,/,,,,
0001GS,Gamila Secret Original Cleansing Bar 30g,/,/,/,/,/,,,,
543913P,Gamila Secret Reviving Rosemary Cleansing Bar 115g,http://au.strawberrynet.com/skincare/gamila-secret/cleansing-bar---reviving-rosemary/159469/#DETAIL,/,http://www.ozcosmetics.com/skincare/gamila-secret/159469,/,/,http://www.cosmeticsnow.com/iteminfo/gamila-secret-cleansing-bar-reviving-rosemary-for-normal-to-combination-skin-115g,,,
0002GS,Gamila Secret Spearmint Sparkle Cleansing Bar 30g (For Combination to Oily skin),/,/,/,/,/,,,,
0010GA,Giorgio Armani Acqua Di Gio Pour Homme Eau De Toilette 50ml,http://au.strawberrynet.com/cologne/giorgio-armani/acqua-di-gio-eau-de-toilette-spray/7635/#DETAIL,/,http://www.ozcosmetics.com/mens-fragrance/giorgio-armani/7635,http://www.brandshopping.com.au/product/acqua-di-gio-cologne-by-giorgio-armani-50ml-edt-spray-for-men-/,http://www.hotcosmetics.com.au/Giorgio-Armani-Acqua-Di-Gio-Eau-De-Toilette-Spray-50ml-1,http://www.cosmeticsnow.com/iteminfo/giorgio-armani-acqua-di-gio-eau-de-toilette-spray-50ml,,,
0027GA,Giorgio Armani Armani Code Sport (M) 50ml,http://au.strawberrynet.com/cologne/giorgio-armani/armani-code-sport-eau-de-toilette/125316/#DETAIL,http://www.eglobalbeauty.com.au/Product.aspx?ProductId=34225,http://www.ozcosmetics.com/mens-fragrance/giorgio-armani/125316?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Giorgio+Armani+Armani+Code+Sport+Eau+De+Toilette+Spray+50ml+1+7o,http://www.brandshopping.com.au/product/armani-code-sport-cologne-by-giorgio-armani-50ml-edt-spray-for-men/,http://www.hotcosmetics.com.au/Giorgio-Armani-Armani-Code-Sport-Eau-De-Toilette-Spray-50ml-1,http://www.cosmeticsnow.com/iteminfo/giorgio-armani-armani-code-sport-eau-de-toilette-spray-50ml,,,
52397,Giorgio Armani Armani Men Miniature Kit,,0,/,/,/,,,,
934291,Givenchy Phenomen'Eyes Effet Extension Lengthening Mascara - # 1 Extension Black 7g/0.24oz,http://au.strawberrynet.com/makeup/givenchy/phenomen-eyes-effet-extension-lengthening/97977/#DETAIL,http://www.eglobalbeauty.com.au/Product.aspx?ProductId=7980,http://www.ozcosmetics.com/make-up/givenchy/97977?utm_source=myshopping&utm_medium=cpc&utm_campaign=Makeup+Cosmetics&utm_term=Givenchy+Phenomen+Eyes+Effet+Extension+Lengthening+Mascara+1,/,/,http://www.cosmeticsnow.com/iteminfo/givenchy-phenomeneyes-effet-extension-lengthening-mascara-no1-extension-black-7g,,,
934291,Givenchy Phenomen'Eyes Effet Extension Lengthening Mascara - # 1 Extension Black 7g/0.24oz,,,,,,,,,
825910,GIVENCHY Phenomen'Eyes High Precision Panoramic Waterproof Mascara - #1 Water Black 7g,,http://www.eglobalbeauty.com.au/Givenchy-PhenomenEyes-High-Precision-Panoramic-Waterproof-Mascara-1-Water-Black-7g024oz-P11546.aspx,http://www.ozcosmetics.com/make-up/givenchy/111256,/,,http://www.cosmeticsnow.com/iteminfo/givenchy-phenomeneyes-high-precision-panoramic-waterproof-mascara-no1-water-black-7g,,,
825910,GIVENCHY Phenomen'Eyes High Precision Panoramic Waterproof Mascara - #1 Water Black 7g,,,,,,,,,
0008GYP,Givenchy Ysatis Eau De Toilette Spray 100ml/3.3oz,,,,,,,,,
0055GU,Gucci By Gucci Pour Homme Set,,#N/A,/,/,,,,,
0040GU,Gucci By Gucci Sport Set,,,/,/,,,,,
0087GUP,Gucci Envy Me Eau De Toilette Spray 100ml,,,,,,,,,
0047GUP,Gucci Flora By Eau Fraiche Eau De Toilette Spray 75ml,,,,,,,,,
